sku,nombre,categoria,marca,modelo_impresora,compatible_con,stock_actual,stock_minimo,precio_compra,precio_venta,proveedor_id,activo
001R00613,Limpiador de Correa para Xerox AltaLink C8035/C8070 Workcentre 7830/7835/7845/7855/7970 160000 pag,OEM Piezas HW 2D,XEROX METERED,,,0,0,0.0,0.0,P100049,True
001R00623,Limpiador de cinta de transferencia Xerox para B8145V/B8155V/B8170V C8130V/C8135V/C8145V/C8155V/C8170V - 160.000 pag,OEM Piezas HW 2D,XEROX,,,0,1,0.0,0.0,P100049,True
002N03410,ADF COVER B315 GOMA CUADRADA RADF,OEM Piezas HW 2D,XEROX,,,0,0,0.0,0.0,PROV000,True
002N03693,Panel de control Xerox VersaLink C7020,OEM Piezas HW 2D,XEROX,,,0,0,0.0,0.0,P110038,True
002N03783,CONTROL PANEL,Accesorio HW,XEROX,,,0,0,0.0,0.0,PROV000,True
005R00730,Revelador negro Xerox para Primelink C9065,OEM Piezas HW 2D,XEROX METERED,,,0,0,0.0,0.0,PROV000,True
006R01457,Toner Xerox WorkCentre 7120/7125/7220/7225 Negro - 22.000 pág.,OEM Consumible HW 2D,XEROX METERED,,,0,0,0.0,0.0,P100049,True
006R01642,Toner METERED Xerox Versant 80/180 Negro - 20.000 pag,OEM Consumible HW 2D,XEROX METERED,,,0,0,0.0,0.0,P100049,True
006R01643,Toner METERED Xerox Versant 80/180 Cyan - 22.000 pag,OEM Consumible HW 2D,XEROX METERED,,,0,0,0.0,0.0,P100049,True
006R01644,Toner METERED Xerox Versant 80/180 Magenta - 22.000 pag,OEM Consumible HW 2D,XEROX METERED,,,0,0,0.0,0.0,P100049,True
006R01645,Toner METERED Xerox Versant 80/180 Amarillo - 22.000 pag,OEM Consumible HW 2D,XEROX METERED,,,0,0,0.0,0.0,P100049,True
006R01655,Toner para Xerox C60/70 Negro - 24.000 pag,OEM Consumible HW 2D,XEROX METERED,,,7,0,0.0,0.0,P100049,True
006R01656,Toner para Xerox C60/70 Cyan - 34.000 pag,OEM Consumible HW 2D,XEROX METERED,,,0,0,0.0,0.0,P100049,True
006R01657,Toner para Xerox C60/70 Magenta - 34.000 pag,OEM Consumible HW 2D,XEROX METERED,,,2,0,0.0,0.0,P100049,True
006R01658,Toner para Xerox C60/70 Amarillo - 34.000 pag,OEM Consumible HW 2D,XEROX METERED,,,2,0,0.0,0.0,P100049,True
006R01697,Toner METERED Xerox AltaLink C8030/C8035/C8045/C8055/C8070 Negro - 26.000 pág,OEM Consumible HW 2D,XEROX METERED,,,7,0,0.0,0.0,P100049,True
