fecha,sku,cantidad,cliente_id,canal
2026-05-02,PAL-SK-ART-0500,1,CLI1225,telefono
2025-07-05,PAL-SK-ART-0501,1,CLI1461,web
2025-07-05,PAL-SK-ART-0501,1,CLI1139,web
2025-07-24,PAL-SK-ART-0501,1,CLI1298,web
2025-09-13,PAL-SK-ART-0501,1,CLI0312,web
2025-11-20,PAL-SK-ART-0501,1,CLI0973,telefono
2026-04-11,PAL-SK-ART-0501,1,CLI0585,web
2025-08-10,PAL-SK-ART-0502,1,CLI0522,web
2025-08-07,PAL-SK-ART-0502,1,CLI0451,web
2025-11-13,PAL-SK-ART-0503,1,CLI0098,presencial
2025-07-17,PAL-SK-ART-0504,1,CLI0476,telefono
2025-07-06,PAL-SK-ART-0504,1,CLI1583,telefono
2025-08-05,PAL-SK-ART-0504,1,CLI1538,web
2025-11-12,PAL-SK-ART-0504,1,CLI1082,presencial
2025-11-23,PAL-SK-ART-0504,1,CLI1257,presencial
2025-11-13,PAL-SK-ART-0504,1,CLI1977,web
2026-01-26,PAL-SK-ART-0504,1,CLI0560,web
2026-04-25,PAL-SK-ART-0504,1,CLI1616,telefono
2026-04-22,PAL-SK-ART-0504,1,CLI1029,presencial
2026-04-06,PAL-SK-ART-0504,1,CLI0790,web
2026-04-04,PAL-SK-ART-0504,1,CLI0796,web
2026-05-24,PAL-SK-ART-0504,1,CLI1605,telefono
2026-05-06,PAL-SK-ART-0504,1,CLI0074,web
2025-09-22,PAL-SK-ART-0505,1,CLI0811,telefono
2025-12-22,PAL-SK-ART-0505,1,CLI1860,presencial
2025-07-14,PAL-SK-ART-0506,1,CLI0006,web
2025-08-16,PAL-SK-ART-0507,2,CLI0362,web
2025-08-01,PAL-SK-ART-0507,2,CLI1408,presencial
2025-08-03,PAL-SK-ART-0507,1,CLI0244,presencial
2025-08-02,PAL-SK-ART-0507,1,CLI0548,web
2025-09-05,PAL-SK-ART-0507,2,CLI0589,presencial
2025-08-09,PAL-SK-ART-0508,2,CLI1719,telefono
2025-09-15,PAL-SK-ART-0508,1,CLI0131,telefono
2025-09-20,PAL-SK-ART-0508,1,CLI1709,web
2025-09-22,PAL-SK-ART-0508,1,CLI0930,telefono
2025-08-10,PAL-SK-ART-0509,1,CLI0650,presencial
2025-08-20,PAL-SK-ART-0509,1,CLI1197,presencial
2025-09-21,PAL-SK-ART-0509,2,CLI0989,presencial
2025-09-28,PAL-SK-ART-0509,1,CLI1142,web
2025-08-18,PAL-SK-ART-0510,2,CLI1057,web
2025-09-27,PAL-SK-ART-0510,4,CLI0276,web
2025-09-16,PAL-SK-ART-0511,1,CLI1169,web
2025-09-25,PAL-SK-ART-0511,1,CLI1047,web
2025-11-26,PAL-SK-ART-0511,1,CLI0747,presencial
2025-11-04,PAL-SK-ART-0511,1,CLI1724,web
2026-01-08,PAL-SK-ART-0511,1,CLI1972,telefono
2026-01-01,PAL-SK-ART-0511,1,CLI1766,presencial
2026-03-15,PAL-SK-ART-0511,1,CLI1905,web
2026-03-14,PAL-SK-ART-0511,1,CLI0086,presencial
2026-05-11,PAL-SK-ART-0511,1,CLI1100,telefono
2026-05-16,PAL-SK-ART-0511,1,CLI0536,web
2025-09-26,PAL-SK-ART-0512,1,CLI1819,telefono
2025-09-15,PAL-SK-ART-0512,1,CLI1321,web
2026-05-23,PAL-SK-ART-0512,1,CLI0318,web
2026-05-01,PAL-SK-ART-0512,1,CLI1946,telefono
2025-09-18,PAL-SK-ART-0513,1,CLI1536,web
2025-09-24,PAL-SK-ART-0513,1,CLI1922,web
2025-09-08,PAL-SK-ART-0513,1,CLI1909,presencial
2026-02-20,PAL-SK-ART-0513,1,CLI1540,web
2026-02-11,PAL-SK-ART-0513,1,CLI0332,telefono
2025-09-24,PAL-SK-ART-0514,1,CLI1261,presencial
2026-01-14,PAL-SK-ART-0514,1,CLI0304,web
2026-01-17,PAL-SK-ART-0514,1,CLI1301,web
2026-04-05,PAL-SK-ART-0514,1,CLI0800,web
2025-07-19,PAL-SK-ART-0515,2,CLI1294,web
2025-10-14,PAL-SK-ART-0515,1,CLI0904,telefono
2025-11-10,PAL-SK-ART-0515,2,CLI0892,web
2025-11-26,PAL-SK-ART-0515,1,CLI0495,web
2025-12-24,PAL-SK-ART-0515,1,CLI1293,web
2026-01-15,PAL-SK-ART-0515,1,CLI0747,web
2026-01-12,PAL-SK-ART-0515,1,CLI0176,web
2026-02-05,PAL-SK-ART-0515,1,CLI1231,telefono
2026-03-12,PAL-SK-ART-0515,1,CLI0142,presencial
2026-04-03,PAL-SK-ART-0515,3,CLI1359,web
2026-04-19,PAL-SK-ART-0515,2,CLI0690,telefono
2026-04-21,PAL-SK-ART-0515,2,CLI1611,web
2026-05-23,PAL-SK-ART-0515,1,CLI0764,web
2025-07-28,PAL-SK-ART-0516,1,CLI1922,web
2025-09-14,PAL-SK-ART-0516,1,CLI0277,web
2025-12-26,PAL-SK-ART-0516,1,CLI0817,web
2026-02-13,PAL-SK-ART-0516,1,CLI1124,telefono
2026-03-23,PAL-SK-ART-0516,1,CLI0907,presencial
2026-04-10,PAL-SK-ART-0516,1,CLI1496,web
2025-07-28,PAL-SK-ART-0517,1,CLI0661,telefono
2025-07-20,PAL-SK-ART-0517,1,CLI1863,web
2025-12-01,PAL-SK-ART-0517,1,CLI0437,telefono
2026-02-10,PAL-SK-ART-0517,1,CLI1098,telefono
2026-03-01,PAL-SK-ART-0517,1,CLI0821,web
2026-04-25,PAL-SK-ART-0517,1,CLI0539,presencial
2025-07-01,PAL-SK-ART-0518,1,CLI0427,web
2025-12-18,PAL-SK-ART-0518,1,CLI0583,web
2026-02-17,PAL-SK-ART-0518,1,CLI1993,web
2026-03-05,PAL-SK-ART-0518,1,CLI0296,presencial
2026-04-09,PAL-SK-ART-0518,1,CLI0712,web
2025-07-17,PAL-SK-ART-0519,1,CLI1269,web
2025-08-24,PAL-SK-ART-0519,4,CLI0645,web
2025-12-08,PAL-SK-ART-0519,1,CLI0765,web
2026-01-21,PAL-SK-ART-0519,1,CLI0549,presencial
2026-04-06,PAL-SK-ART-0519,1,CLI1972,web
2026-04-28,PAL-SK-ART-0519,1,CLI1949,web
2026-05-20,PAL-SK-ART-0519,1,CLI0410,presencial
2026-05-21,PAL-SK-ART-0519,1,CLI0150,presencial
2025-07-17,PAL-SK-ART-0520,1,CLI0376,web
2025-08-17,PAL-SK-ART-0520,1,CLI0990,web
2025-10-09,PAL-SK-ART-0520,1,CLI1669,web
2025-12-24,PAL-SK-ART-0520,1,CLI1783,presencial
2026-02-20,PAL-SK-ART-0520,1,CLI1986,web
2026-04-02,PAL-SK-ART-0520,1,CLI1882,web
2025-07-02,PAL-SK-ART-0521,1,CLI1561,web
2025-08-23,PAL-SK-ART-0521,1,CLI0412,presencial
2025-10-26,PAL-SK-ART-0521,1,CLI0776,telefono
2026-01-01,PAL-SK-ART-0521,1,CLI1029,presencial
2026-01-02,PAL-SK-ART-0521,1,CLI0146,telefono
2026-02-02,PAL-SK-ART-0521,1,CLI1437,web
2026-04-16,PAL-SK-ART-0521,1,CLI1782,presencial
2025-07-08,PAL-SK-ART-0522,1,CLI0286,web
2025-08-25,PAL-SK-ART-0522,1,CLI0941,web
2025-10-06,PAL-SK-ART-0522,1,CLI0948,telefono
2025-10-21,PAL-SK-ART-0522,1,CLI1049,web
2026-01-07,PAL-SK-ART-0522,1,CLI0590,presencial
2026-04-04,PAL-SK-ART-0522,1,CLI1959,web
2026-04-09,PAL-SK-ART-0522,1,CLI1271,presencial
2025-07-05,PAL-SK-ART-0523,3,CLI0945,web
2025-07-17,PAL-SK-ART-0523,3,CLI0123,telefono
2025-07-14,PAL-SK-ART-0523,3,CLI1437,telefono
2025-07-05,PAL-SK-ART-0523,2,CLI0906,web
2025-08-26,PAL-SK-ART-0523,6,CLI1397,web
2025-09-14,PAL-SK-ART-0523,2,CLI1613,presencial
2025-09-23,PAL-SK-ART-0523,1,CLI1116,web
2025-09-01,PAL-SK-ART-0523,1,CLI1957,telefono
2025-10-06,PAL-SK-ART-0523,3,CLI0706,web
2025-10-16,PAL-SK-ART-0523,3,CLI1293,telefono
2025-10-05,PAL-SK-ART-0523,3,CLI1737,presencial
2025-10-04,PAL-SK-ART-0523,2,CLI1228,telefono
2025-10-10,PAL-SK-ART-0523,2,CLI0890,telefono
2025-11-22,PAL-SK-ART-0523,4,CLI0413,presencial
2025-11-25,PAL-SK-ART-0523,3,CLI1637,web
2025-12-24,PAL-SK-ART-0523,6,CLI0038,web
2025-12-21,PAL-SK-ART-0523,5,CLI1304,web
2026-01-01,PAL-SK-ART-0523,12,CLI1527,web
2026-02-02,PAL-SK-ART-0523,6,CLI1116,web
2026-02-05,PAL-SK-ART-0523,6,CLI1967,web
2026-03-16,PAL-SK-ART-0523,4,CLI0763,telefono
2026-03-17,PAL-SK-ART-0523,3,CLI0620,web
2026-04-15,PAL-SK-ART-0523,2,CLI1484,presencial
2026-04-05,PAL-SK-ART-0523,1,CLI0972,presencial
2026-04-13,PAL-SK-ART-0523,1,CLI1020,presencial
2026-04-23,PAL-SK-ART-0523,1,CLI0765,web
2026-05-02,PAL-SK-ART-0523,5,CLI1610,presencial
2026-05-25,PAL-SK-ART-0523,5,CLI0629,web
2025-07-14,PAL-SK-ART-0524,1,CLI0511,presencial
2025-07-09,PAL-SK-ART-0524,1,CLI0229,web
2025-07-05,PAL-SK-ART-0524,1,CLI1850,presencial
2025-07-12,PAL-SK-ART-0524,1,CLI1446,web
2025-07-10,PAL-SK-ART-0524,1,CLI0319,web
2025-08-02,PAL-SK-ART-0524,3,CLI0344,web
2025-08-18,PAL-SK-ART-0524,2,CLI1953,web
2025-09-06,PAL-SK-ART-0524,1,CLI1255,presencial
2025-09-03,PAL-SK-ART-0524,1,CLI1123,web
2025-09-25,PAL-SK-ART-0524,1,CLI1694,web
2025-10-18,PAL-SK-ART-0524,5,CLI0959,presencial
2025-10-17,PAL-SK-ART-0524,4,CLI0392,web
